input_sum,output_sun,input_num,output_num,input_sum_sd,output_sum_sd,input_num_sd,output_num_sd
785525535.3,741780367.8,15264,1099,102227128.2,94198045.25,1854.14,128.69
932383246,941211364.5,17776,1380,96637349.19,80517834.04,1803.09,113.32
112773465.2,520691097.8,515,1264,12920825.21,41734031.6,51.6,113.42
1646702.46,651937954.5,1424,3904,223055.91,40475665.05,164.25,270.83
8928032.93,242390151.8,3134,1161,1147261.43,24838937.71,316.2,169.2
76126149.46,324806032.6,5928,5181,6644031.4,24282392.51,456.32,360.32
72445153.24,110036672.9,3123,1321,13281126.97,22081361.84,406.11,237.43
111348020.1,209084031.8,6527,3097,11334237.04,10342631.67,449.7,154.78
64061771.73,203358261.9,5050,1659,5116709.59,14201162.1,520.91,127.9
39108647.88,113655014.4,1599,140,5094339.06,18129501.38,111.51,20.26
3928745.5,122815470,1664,2835,675939.21,10122380.73,205.26,211.63
24565279.45,135537558.5,2847,367,4973689.72,10557330.41,545.53,21.72
114520005.3,116652185.4,1286,1284,15623093.9,15977678.39,164.61,165.08
103268584.5,143264372.9,3141,231,6729517.71,8724547.9,199.19,13.81
20785662.73,107831741,512,1439,2145053.79,8943399.3,56.08,110.12
1210488.04,187713527.4,457,12209,91830.58,11958798,56.56,755.54
6926522.32,182429033.1,2023,726,1020815.66,4907261.66,245.43,99.75
39177009.15,159374968.2,1357,4458,4600887.8,5589179.55,108.97,215.76
49328650.86,97267679.64,704,1366,6713181.43,10257948.41,60.14,119.95
32709212.26,90439864.44,3579,1099,3155959.41,12501372.66,334.47,115.56
8662197.31,104168305.7,2434,1245,1911684.85,15035243.02,362.16,181.69
112976762.8,117569720.1,2916,3844,7076868.39,7121544.74,171.98,202.87
123019829.8,131110608.4,3170,1416,8092475.17,9441553.35,231.69,109.96
147605710.2,187669783.1,5603,2314,12181526.71,12324399.87,537.23,146.67
28869945.28,80568173.17,511,270,7375058.78,7139219.84,80.87,33.81
566820.35,101240606.3,285,1147,71973.69,8474884.17,27.37,91.7
83207437.35,114258375.1,3268,410,6259004.51,7469617.58,247.69,22.74
10289917.7,102421153,781,140,2005188.87,10777822.53,83.56,12.86
6302403.63,119611728,891,1488,536841.68,6085867.64,90.28,52.95
87916.36,241023767.8,71,280,23702.08,29070505.42,14.18,31.32
123056747,74457899.33,2657,1816,10367229.39,8948760.66,290.43,168.11
74244539.66,78595786.98,398,1045,7675516.32,11175458.63,42.76,138.84
2141865.02,153867406.2,592,384,372023.84,12211153.93,69.01,22.73
47908999.59,67116525.76,1472,918,9511800.38,12209751.26,147.99,127.3
62683706.16,79121019.39,1099,859,7314371.5,9671229.94,142.52,100.67
66228852.23,103171771.6,4472,233,7030623.31,7781224,362.76,14.38
150164582.9,222833468.6,4245,2814,13514634.85,12898070.59,362.56,157.31
879826.76,153900098.9,246,238,150794.63,12152334.56,25.66,18.24
133517857.6,136961159.2,9820,471,9441652.29,23526249.63,664.34,21.31
75117230.54,130693646.5,2576,928,3902072.44,7619403.32,183.61,80.47
70610100.74,119829636.7,4099,1453,6865819.31,5707272.74,338.16,67.66
86924609.02,114219774.2,4147,2346,5334571.08,6367810.34,240.98,120.04
2927643.39,77618674.3,168,1397,837294.37,8600710.95,19.65,174.73
138709711.3,119627824.7,7071,4642,5988886.77,6073650.03,359.03,284.11
1361564.03,90209902.91,461,399,488665.58,10453341.73,190.72,76.73
75301296.53,114831443.2,5811,1410,10967183.54,9233600.71,498.43,113.13
32194310.4,71763015.63,1247,786,3932915.03,9618436.63,94.56,106.59
45206539.15,104409268.1,1823,7013,4202305.78,6399365.83,169.06,369.66
41265979.18,74903266.59,464,1171,5074181.8,8274379.34,47.92,92.67
105941230.4,106836324.8,1314,2370,3179225.74,4170448.04,81.6,103.17
75632024.77,91150036.85,2319,1148,5192398.09,5117202.31,190.91,66.58
78364272.39,74001823.99,3930,3771,5496127.92,5865011.11,374.17,298.95
4288780.69,83492525.8,3163,1935,358385.03,4202076.11,258.82,95.03
70911921.57,97717360.95,3061,835,7789747.25,9478231.05,344.02,87.67
80109910.19,78541364.38,333,1019,6841713.54,6463456.26,22,66.11
36358548.25,60347261.57,2000,718,5524021.19,6434141.84,254.76,68.83
63091063.26,74087731.47,3545,2023,3827813.42,4783196.89,247.73,99.81
86445982.11,76977567.97,2974,1475,4246613,4152021.19,188.4,91.83
73259105.42,77437981.47,972,1049,5662168.4,5796898.27,83.23,81.68
25830954.62,65085708.14,1408,927,4488737.93,6434482.48,190,77.81
37934598.81,53005659.13,1967,639,4985966.32,6109552.3,224.43,80.02
704949.16,96329021.71,67,5442,152985.15,11678789.74,6.11,654.49
2932725.39,83555221.12,941,1073,304575.09,7835626.85,71.68,56.8
78297103.65,80713142.81,2484,2073,3745006.42,4858191.98,150.99,119.09
29298497.03,50709690.27,3337,606,2833185.28,6445879.74,315.44,69.7
1530211.56,119934393.8,122,344,205541.28,6435353.51,11.98,38.16
260874688.8,256138436.3,1177,2731,40262222.73,33596830.57,89.22,350.36
17311335.93,42118600.17,98,68,4065016.95,7991315.6,19.26,11.57
17081342.11,122316829.7,1539,30077,1378586.78,9036068.84,97.88,1663.83
10830459.66,88972764.61,4757,11053,463609.11,3724500.18,356.23,602.62
75544254.35,109903508.2,2267,4626,2382016.43,4983606.47,121.44,258.41
42300386.2,72526203.12,1336,2755,1325681.37,3675817.32,45.61,110.35
101054533.1,181712080.3,6349,4050,7962880.79,14527663.68,508.26,259.84
57938852.9,57406622.72,1109,728,4749276.7,4582120.06,92.88,74.03
47469657.04,47163293.45,1201,564,5932666.13,5536222.84,132.01,60.11
39212850.35,48047952.48,463,1084,5814645.89,6353692.43,35.59,107.92
10387155.82,99269637.6,364,1096,1331593.6,8226224.71,29.33,89.77
23399488.06,47646507.18,1142,578,3399871.08,4813770.92,124.78,55.95
57409981.43,92091768.28,5029,1339,4265648.99,4859549.26,389.58,67
23934662.51,74253216.71,137,967,2731595.22,4184713.4,16.34,57.54
72946880.4,96008119.43,3557,913,6566195.36,8344365.3,274.64,97.17
72195567.27,120936342.8,3298,1393,10016367.24,14591682.26,396.95,160.35
75862564.99,75553782.03,963,897,5832465.48,6331828.73,70.42,69.68
43991012.25,65700985.17,8128,1223,3843280.92,4977401.95,730.37,84.65
5855280.49,53682992.72,536,557,710061.75,8092475.71,62.08,82.09
21886710.58,49070943.99,403,1470,3555857.15,4021183.17,64.83,82.62
148331.11,76890077.77,133,1497,23797.34,6807446.04,13.45,127.88
45404788.96,57697215.6,2103,1148,4440525.95,3482084.13,178.34,57.64
36190187,64252383.44,692,713,3055921.32,3494808.21,65.22,38.97
216474.13,67502754.2,172,756,34182.85,6557564.13,20.34,74.81
33287980.31,58325941.25,3340,685,2979887.73,4778139.82,312.56,59.06
40801973.16,39328554.23,1026,137,9403390.92,8650400.66,142.23,16.48
35677550.27,35642623.95,4299,491,3921603.98,4437409.66,461.29,61.81
55190901.44,80286331.1,5708,1233,2608104.7,3524102.86,326.09,40.43
33465961.9,45971718.41,4429,652,4564165.34,3662071.26,478.12,41.24
52232782.64,62615800.41,4325,1023,4019579.19,5886953.63,284.53,79.71
38566681.77,31385466.78,2505,477,4406765.72,6501760.2,385.54,99.27
98473831.16,95946734.5,723,1110,6649252.81,5955201.99,40.01,69.52
43661253.97,68686418.24,4173,8315,1844409.42,2559878.23,296.87,317.75
46066940.46,44714111.36,1022,516,7332583.69,4019128.43,73.84,39.31
50732713.7,55848119.35,2778,687,4083392.25,3933156.16,223.53,50.62
29703662.78,59965638.31,2665,993,1350270.62,2733013.79,195.53,32.08
56541639.2,54774178.32,1570,773,3420813.24,2786682.62,89.78,43.12
120507.45,49308980.03,83,592,18677.19,5164706.06,8.84,64.35
35730036.88,33376164.7,681,370,5329874.96,4727351.13,86.3,52.55
35129701.39,47970719.64,782,113,3563675.32,11549110.69,94.57,11.55
401349.69,19988668.9,718,223,70222.59,5359148.52,112.39,51.29
4551474.64,39835337.13,919,580,437308.5,3667218.1,73.62,53.36
14054231.02,40024592.54,593,944,1189612.48,2927294.86,53.08,52.16
4980574.77,44647209.89,197,518,1155968.71,4011623.46,26.26,47.75
17103901.02,19792717.95,1900,221,3703805.77,4128915.33,255.76,44.4
15987761.56,56429503.98,3808,11256,1879065.87,3958116.82,340.41,804.25
25876475.69,26270147.96,367,306,3317341.54,3675472.61,57.58,39.65
5982268.47,37898804.22,415,721,697768.04,2037969.01,37.3,41.44
4588763.79,32091033.41,681,677,368917.17,1993860.04,32.7,30.89
13820506.18,34862195.29,1105,443,1218137.06,3160341.84,106.64,37.72
132745.05,25170610.39,264,309,15546.79,2610369.28,35.18,36.7
6524608.6,31377751.46,1298,749,619354.11,1932140.42,90.18,57.03
12283876.14,21712508.8,915,333,942960.61,2090205.76,99.31,30.29
13784612.42,20868777.1,1466,353,1473558.75,2212427.08,140.83,35.97
27296207.13,51819821.7,620,470,4437019.65,6072091.81,71.1,61.91
8633213.09,32443945.69,427,660,566571.84,1051926.41,28.47,20.52
9138566.25,12859876.88,1355,274,1374342.53,2599559.68,138.32,35.61
26238254.22,39283384,905,517,1530259.79,3365583.34,33.36,29.61
18383666.46,23725535.58,1196,318,1586653.48,1831798.67,125.63,21.52
3221474.18,37200358.72,236,456,596434.95,2066166.68,28.71,21.41
11268140.56,38606481.84,1331,599,1633758.67,2421176.98,131.29,27.41
10258640.4,29926361.09,270,892,546918.42,1210125.95,11.76,31.96
15089198.55,23793654.89,337,317,1466496.7,2384694.68,40.17,29.69
15197534.26,68046478.54,2233,2380,1323433.82,7076011.63,129.69,137.41
18472779.25,31725623.11,2321,707,1019489.1,1309489.54,158.09,25.37
17836465.14,22168583.16,1343,1405,1429928.51,2203706.34,116.26,74.82
8616353.38,15967699.38,1338,1367,758182.4,1635337.8,142.56,126.15
16419328.12,24523963.3,320,656,1139073.2,1730823.91,24.03,50.4
14352187.42,26231558.89,490,404,2385132.86,1510248.54,50.48,23.77
21512865.91,23812366.63,1968,401,1514721.39,1549133.26,94.32,23.11
1223479.75,26289597.49,289,450,156404.08,2403489.47,24.31,35.47
1033331.69,17493142.05,189,202,463790.39,1178634.96,31.32,13.53
935601.37,30060690.45,169,194,151565.62,4959166.52,6.74,27.7
5861645.7,20044158.2,548,335,323426.52,1081020.69,36.36,16.74
26123955.51,30204201.37,1638,440,2220843.08,2061383.29,72.8,12.42
4428282.71,13847647.5,1168,542,380481.74,1213688.35,93.95,35.08
9969872.58,23004728.28,1460,7961,1190692.77,1803854.4,150.9,632.22
1600295.13,20636866.03,364,357,164809.15,1028683.23,30.17,18.62
4044018.63,12182839.35,1022,169,798466.77,1522620.67,109.55,17.79
12518820.56,18107878.28,319,254,1041625.31,1099301.85,25.42,14.17
11040657.06,13017866,389,222,1173782.96,1226267.63,41.53,17.5
16692566.79,22943219.65,600,500,2022018.89,2378112.84,50.66,50.01
12226246.4,17080553.21,544,549,1072545.39,1353114.85,45.88,41.28
19629385.24,16333110.18,1002,551,1260529.48,825910.92,56.97,21.76
11977184.03,21071603.49,752,1959,418791.22,1007540.19,25.46,99.55
15198205.36,19645465.23,582,291,748347.45,1035681.1,24.97,14.47
10717026.24,16027714.88,1007,429,642442.14,983968.3,52.48,22.63
16078594.04,30216720.82,730,458,1414710.84,2735291.66,45.67,30.28
11293218.69,12127861.53,290,199,1549153.48,1914436.7,31.59,28.72
14278828.88,15043409.13,422,267,727768.23,831745.18,21.08,14.65
13186165.14,16013736.53,575,240,1340744.74,1384731.14,48.61,20.24
7236380.2,21051602.52,3307,1567,951167.95,971282.61,505.72,82.8
5306769.02,16894268.32,859,988,544648.22,922116.05,70.52,54.61
16817356.23,11223475.72,372,129,3946852.24,2979128.19,60.96,31.25
6835386.23,11604986.87,323,1278,979373.47,1471261.1,36.92,157.42
7511439.88,7696185.75,56,107,1231352.81,1264611.33,4.2,13.77
4089504.26,22641319.89,845,310,441474.95,973293.06,83.11,13.78
11177597.67,13675456.42,818,206,1023968.62,906948.59,51.84,9.43
5441938.89,12371267.16,1446,219,827494.2,1842550.66,204.71,24.32
10296967.85,13646000.04,50,162,1119825.31,383222.04,5.01,6.11
5471901.9,16228313.17,902,2436,1201942.29,1123541.52,165.79,137.46
24189235.73,19682705.99,570,495,1452054.09,851724.68,60.83,51.32
14744459.95,18538935.79,747,223,3587634.72,4634218.96,129.34,48.37
3919541.14,15413221.3,2971,428,432564.1,1228621.44,269.09,26.59
3118772.12,9362480.97,899,261,371108.36,895319.65,73.95,14.81
2176920.41,16347545.81,682,315,515112.49,795195.89,75.09,13.39
16812220.66,9378613.35,588,951,1508533.88,817037.66,49.45,49.38
19412737.84,47837106.24,575,321,4167226.2,5029869.62,63.08,44.99
3607070.91,12549784.6,1225,329,630304.94,921589.2,122.53,19.05
3079011.13,6136165.47,452,98,815192.81,1644106.78,43.73,17.29
8216874.26,11938831.56,487,1613,969126.11,880260.91,43.33,111.97
6372921.7,12733306.41,934,172,680043.69,971906.37,68.48,12.42
3675969.84,11111512.29,1839,938,556785.1,884680.6,161.71,68.72
1996852.28,10671429.46,2514,411,128831.53,710793.17,184.38,28.31
73673797.93,12251621.22,4433,666,6635243.24,759280.59,388.06,63.76
7075381.48,13222546.68,325,279,417892.82,974558.56,17.5,17.28
2971881.77,7405442.54,1237,110,569679.24,948996.06,151.87,11.84
2140613.28,11439913.57,376,1533,136405.63,514637.19,30.74,72.37
2516088.69,10820742.97,754,404,298476.75,1193387.3,73.93,37.99
1637924.23,5715048.96,347,171,224939.17,1004780.22,47.69,23.32
1186897.16,11136065.79,297,349,84401.29,473566.04,15.57,13.25
7265941.14,13556534.74,176,691,681609.29,555659.54,12.6,25.55
6696594.76,8499217.04,231,92,2245316.13,1341728.32,21.36,14.31
5147612.82,11319199.69,62,365,299253.3,743614.69,5.15,17.71
9064070.76,10070044.29,884,832,737853.1,720887.53,49.37,70.88
3996447.27,5482348.52,468,117,904461.59,1378973.42,36.55,16.04
79367372.22,13801263.37,1569,339,5663438.53,1126162.09,133.27,23.3
31237890.88,11491404.96,513,4001,2308469.84,687361.96,50.5,205.9
8824077.06,11078618.6,270,181,455835.83,512295.76,12.74,4.49
10740900.51,17995408.78,466,251,1437879.21,1142092.37,42.35,14.09
2291691.51,8339064.06,447,144,449775.02,1348845.38,57.17,12.1
2696224.73,8297018.33,1344,7773,292840.13,547732.12,117.89,361.23
1197830.9,6039945.03,139,88,135007.6,741312.33,11.82,10.53
16194935.73,30588960.18,817,378,2882583.28,7424783.61,114.36,83.6
1313617.23,7120404.6,844,127,264224.17,768805.18,88.05,9.7
5450873.57,7529936.97,147,185,523070.74,711893.16,10.45,15.46
3245504.41,5453445.84,431,272,895509.83,843446.21,88.18,23.97
293179.11,11315825.15,66,678,37129.47,739114.38,5.22,31.97
570761.98,7358057.11,251,82,38304.7,487055.17,20.52,5.19
2892673.65,3899767.09,126,168,626207.45,736920.17,17.2,33.18
1434811.7,3378699.3,53,69,148085.14,422714.32,6.4,7.46
2240183.79,4929621.64,245,132,210346.11,293347.02,13.72,7.9
1400067.96,2301371.92,118,88,162232.45,130439.38,8.63,5.29
582446.76,2248406.59,249,75,47588.06,181910.53,21.31,5.5
2307017.62,2408534.78,487,605,192143.57,164917.91,29.99,39.81
974659.34,2117098.2,85,170,75312,172825.74,4.71,10.03
772629.59,2260862.78,192,4050,57969.45,83967.69,14.44,156.01
406815.57,1472460.75,623,52,53700.37,201438.96,64.93,4.5
297904.48,1057514.98,100,52,86258.24,166830.09,18.22,8.48
318399.44,2734142.36,224,68,20804.74,197549.16,13.76,4.46
590037.09,2217049.23,65,293,68061.3,179728.95,7.39,17.39
3248944.6,4901439.63,171,90,304735.03,584288.78,18.76,7.24
411876.14,4207637.88,122,95,76357.76,587162.47,11.41,14.07
433344.43,2029007.68,140,308,34470.32,168192.79,8.94,20.7
1847659.22,3453091.74,126,76,533165.96,726645.82,14.08,6.94
637106.37,1416940.03,152,200,68391.76,97311.43,9.48,12.37
548783.33,2065282.13,323,536,65002.79,79571.75,32.85,15.59
19766080.82,1320702.46,868,109,2483022.71,242062,98.98,8.36
245984.74,779587.07,108,58,58009.63,82764.45,8.85,4.93
1178656.78,877931.62,685,298,237151.58,191556.94,73.6,63.3
1294317.86,2260264.93,369,155,142315.19,205130.44,15.88,28.59
84704521,1495993.29,1766,80,8797818.46,204338.41,59.53,16.23
183097.06,4145631.13,398,54,43740.82,733352.55,93.84,7.51
93133.58,1031505.4,291,319,9989.4,32516.3,32.02,12.2
88514.42,1009536.89,179,227,9769.41,92708.34,12.38,23.02
231871.95,1900800.64,133,94,25172.23,306890.09,11.44,6.98
448666.61,618130.35,198,65,41410.05,105277.58,21.64,5.53
77724.01,618867.38,73,89,5939.44,104113.9,6.24,10.38
90426.81,1197548.35,108,61,9527,145035.13,10.88,4.27
16780.68,406965.83,105,65,3701.08,27391.42,18.36,4.45
245753.44,260305.24,109,67,55578.97,23938.03,14.43,4.35
65895.24,320552.78,83,137,13061.46,36892.96,15.67,13.94
1875705.46,71630.27,151,114,43132.02,5004.92,5.71,9.32
